paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
33997,vitamin d,C0014695,Organic Chemical,TREATS,hypophosphatemia,C0085682,Disease or Syndrome,False,True
33997,xlh,C0733682,Disease or Syndrome,IS_A,renal tubular disorders,C0151747,Disease or Syndrome,False,True
33997,adhr,C0342642,Disease or Syndrome,IS_A,renal tubular disorders,C0151747,Disease or Syndrome,False,True
33997,tio,C1274103,Disease or Syndrome,IS_A,renal tubular disorders,C0151747,Disease or Syndrome,False,True
33997,phosphate,C0031603,Inorganic Chemical,MANAGES,xlh,C0733682,Disease or Syndrome,False,True
33997,phosphate,C0031603,Inorganic Chemical,MANAGES,adhr,C0342642,Disease or Syndrome,False,True
33997,phosphate,C0031603,Inorganic Chemical,MANAGES,tio,C1274103,Disease or Syndrome,False,True
33997,phosphate,C0031603,Inorganic Chemical,MANAGES,renal tubular disorders,C0151747,Disease or Syndrome,False,True
33997,synthesis,C0220781,Biologic Function,OCCURS_IN,renal,C0022646,"Body Part, Organ, or Organ Component",False,True
33997,phosphate,C0031603,Inorganic Chemical,PREVENTS,secondary hyperparathyroidism,C0020503,Disease or Syndrome,False,True
33997,"1,25(oh)2d",C0006674,Organic Chemical,PREVENTS,secondary hyperparathyroidism,C0020503,Disease or Syndrome,False,True
33997,suppression,C0221103,Pathologic Function,CAUSES,secondary hyperparathyroidism,C0020503,Disease or Syndrome,False,True
33997,extirpation,C0015252,Therapeutic or Preventive Procedure,MANAGES,tumor,C0027651,Neoplastic Process,False,True
33997,tumor,C0027651,Neoplastic Process,LOCATION_OF,bone,C0005931,Tissue,False,True
33997,radionuclide scanning,C0034606,Diagnostic Procedure,USES,sestamibi,C1337333,Organic Chemical,False,True
33997,radionuclide scanning,C0034606,Diagnostic Procedure,USES,octreotide,C0028833,"Amino Acid, Peptide, or Protein",False,True
33997,tio,C1274103,Disease or Syndrome,CAUSES,hypophosphatemia,C0085682,Disease or Syndrome,False,True
33997,octreotide,C0028833,"Amino Acid, Peptide, or Protein",TREATS,hypophosphatemia,C0085682,Disease or Syndrome,False,True
33998,phosphate,C0031603,Inorganic Chemical,INTERACTS_WITH,napi-2 co-transporters,C0598849,"Amino Acid, Peptide, or Protein",False,True
33998,napi-2 co-transporters,C0598849,"Amino Acid, Peptide, or Protein",LOCATION_OF,proximal tubular,C0268435,Disease or Syndrome,False,True
33998,pth,C0020063,"Amino Acid, Peptide, or Protein",AFFECTS,napi-2 co-transporters,C0598849,"Amino Acid, Peptide, or Protein",False,True
33998,fgf23,C1414605,Gene or Genome,AFFECTS,napi-2 co-transporters,C0598849,"Amino Acid, Peptide, or Protein",False,True
33998,impaired glomerular filtration,C0232809,Organ or Tissue Function,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
33998,hypoparathyroidism,C0020626,Disease or Syndrome,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
33998,phosphate,C0031603,Inorganic Chemical,LOCATION_OF,ecf,C0247098,Therapeutic or Preventive Procedure,False,True
33998,bone,C0005931,Tissue,PRODUCES,phosphate,C0031603,Inorganic Chemical,False,True
33998,gut,C0017189,Body System,PRODUCES,phosphate,C0031603,Inorganic Chemical,False,True
33999,chronic renal insufficiency,C0403447,Disease or Syndrome,AFFECTS,gfr,C0017654,Diagnostic Procedure,False,True
33999,gfr,C0017654,Diagnostic Procedure,AFFECTS,phosphate,C0031603,Inorganic Chemical,False,True
33999,hyperphosphatemia,C0085681,Disease or Syndrome,DISRUPTS,renal synthesis,C0220781,Biologic Function,False,True
33999,renal synthesis,C0220781,Biologic Function,PRODUCES,"1,25(oh)2d",C0006674,Organic Chemical,False,True
33999,hyperphosphatemia,C0085681,Disease or Syndrome,CAUSES,hypertrophy,C0020564,Pathologic Function,False,True
33999,blood,C0005767,Body Substance,CONTAINS,ionized calcium,C0373561,Biologically Active Substance,False,True
33999,hyperphosphatemia,C0085681,Disease or Syndrome,AFFECTS,ionized calcium,C0373561,Biologically Active Substance,False,True
33999,hyperphosphatemia,C0085681,Disease or Syndrome,CAUSES,secondary hyperparathyroidism,C0020503,Disease or Syndrome,False,True
33999,hyperphosphatemia,C0085681,Disease or Syndrome,IS_A,disease,C0012634,Disease or Syndrome,False,True
34000,napi-2 co-transporters,C0598849,"Amino Acid, Peptide, or Protein",LOCATION_OF,proximal tubule,C0022677,"Body Part, Organ, or Organ Component",False,True
34000,autoimmune disease,C0004364,Disease or Syndrome,CAUSES,hypoparathyroidism,C0020626,Disease or Syndrome,False,True
34000,surgical,C0543467,Therapeutic or Preventive Procedure,CAUSES,hypoparathyroidism,C0020626,Disease or Syndrome,False,True
34000,radiation-induced absence,C0751366,Neoplastic Process,CAUSES,hypoparathyroidism,C0020626,Disease or Syndrome,False,True
34000,radiation-induced absence,C0751366,Neoplastic Process,PROCESS_OF,parathyroid tissue,C1518895,Tissue,False,True
34000,secretion,C0036536,Biologic Function,PROCESS_OF,pth,C0020063,"Amino Acid, Peptide, or Protein",False,True
34000,hypermagnesemia,C0151714,Disease or Syndrome,DISRUPTS,secretion,C0036536,Biologic Function,False,True
34000,hypomagnesemia,C0151723,Disease or Syndrome,DISRUPTS,secretion,C0036536,Biologic Function,False,True
34000,mutations,C0026882,Genetic Function,DISRUPTS,secretion,C0036536,Biologic Function,False,True
34000,mutations,C0026882,Genetic Function,LOCATION_OF,casr,C1413136,Gene or Genome,False,True
34000,acromegaly,C0001206,Disease or Syndrome,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34000,tumoral calcinosis,C0263628,Disease or Syndrome,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34000,genetic disorders,C0019247,Disease or Syndrome,CAUSES,tumoral calcinosis,C0263628,Disease or Syndrome,False,True
34000,mutations,C0026882,Genetic Function,LOCATION_OF,fgf23,C1414605,Gene or Genome,False,True
34000,inactivating mutations,C4505106,Genetic Function,LOCATION_OF,galnt3 gene,C1414945,Gene or Genome,False,True
34000,galactosaminyl transferase,C0016789,"Amino Acid, Peptide, or Protein",AFFECTS,fgf23,C1414605,Gene or Genome,False,True
34000,resistance,C0237834,Mental Process,CAUSES,syndrome,C0039082,Disease or Syndrome,False,True
34000,inactivating mutations,C0026882,Genetic Function,CAUSES,resistance,C0237834,Mental Process,False,True
34000,inactivating mutations,C0026882,Genetic Function,LOCATION_OF,klotho,C1144173,"Amino Acid, Peptide, or Protein",False,True
34000,klotho,C1144173,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,fgf23,C1414605,Gene or Genome,False,True
34000,abnormalities,C0000768,Congenital Abnormality,CAUSES,"1,25(oh)2d",C0006674,Organic Chemical,False,True
34002,infusion,C0574032,Therapeutic or Preventive Procedure,AFFECTS,serum phosphorus,C0031705,"Element, Ion, or Isotope",False,True
34010,mutations,C0026882,Genetic Function,PROPERTY_OF,calcium-sensing receptor,C0249742,"Amino Acid, Peptide, or Protein",False,True
34013,sarcoidosis,C0036202,Disease or Syndrome,IS_A,granulomatous diseases,C0740451,Disease or Syndrome,False,True
34032,focal hyperostosis,C0020492,Disease or Syndrome,ASSOCIATED_WITH,periarticular heterotopic ossifications,C0029396,Pathologic Function,False,True
34032,periarticular heterotopic ossifications,C0029396,Pathologic Function,LOCATION_OF,shoulders,C0037004,Body Location or Region,False,True
34032,periarticular heterotopic ossifications,C0029396,Pathologic Function,LOCATION_OF,hips,C0019552,"Body Part, Organ, or Organ Component",False,True
34033,phosphate,C0031603,Inorganic Chemical,TRAVERSES,ecf,C0247098,Therapeutic or Preventive Procedure,False,True
34033,soft tissue injury,C0037578,Injury or Poisoning,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34033,necrosis,C0027540,Organ or Tissue Function,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34033,crush injuries,C0332679,Injury or Poisoning,IS_A,soft tissue injury,C0037578,Injury or Poisoning,False,True
34033,rhabdomyolysis,C0035410,Pathologic Function,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34033,hyperthermia,C0015967,Sign or Symptom,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34033,fulminant hepatitis,C0302809,Disease or Syndrome,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34033,cytotoxic chemotherapy,C0677881,Therapeutic or Preventive Procedure,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34033,hemolytic anemia,C0002878,Disease or Syndrome,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34034,hyperphosphatemia,C0085681,Disease or Syndrome,PRODUCES,calcium phosphate,C0006711,Pharmacologic Substance,False,True
34034,hyperphosphatemia,C0085681,Disease or Syndrome,CAUSES,seizures,C0036572,Sign or Symptom,False,True
34034,hyperphosphatemia,C0085681,Disease or Syndrome,CAUSES,nephrocalcinosis,C0027709,Disease or Syndrome,False,True
34034,hyperphosphatemia,C0085681,Disease or Syndrome,CAUSES,cardiac calcifications,C0006660,Organ or Tissue Function,False,True
34034,cardiac calcifications,C0006660,Organ or Tissue Function,CAUSES,acute heart block,C0018794,Disease or Syndrome,False,True
34034,tumor lysis syndrome,C0041364,Disease or Syndrome,CAUSES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34035,therapeutic options,C0087111,Therapeutic or Preventive Procedure,MANAGES,hyperphosphatemia,C0085681,Disease or Syndrome,False,True
34035,expansion,C0007595,Cell Function,AFFECTS,renal phosphate,C0031603,Inorganic Chemical,False,True
34036,magnesium,C0024467,Biologically Active Substance,IS_A,divalent cation,C0007448,Chemical Viewed Structurally,False,True
34036,magnesium,C0024467,Biologically Active Substance,PHYSICALLY_RELATED_TO,atp,C0001480,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
34036,magnesium,C0024467,Biologically Active Substance,IS_A,cofactor,C0178555,Biologically Active Substance,False,True
34036,magnesium,C0024467,Biologically Active Substance,LOCATION_OF,serum,C0229671,Body Substance,False,True
34036,magnesium,C0024467,Biologically Active Substance,PHYSICALLY_RELATED_TO,proteins,C0033684,"Amino Acid, Peptide, or Protein",False,True
34036,magnesium,C0024467,Biologically Active Substance,PHYSICALLY_RELATED_TO,phosphate,C0031603,Inorganic Chemical,False,True
34036,magnesium,C0024467,Biologically Active Substance,PHYSICALLY_RELATED_TO,anions,C0003075,"Element, Ion, or Isotope",False,True
34036,magnesium,C0024467,Biologically Active Substance,LOCATION_OF,bone,C0005931,Tissue,False,True
34036,magnesium,C0024467,Biologically Active Substance,LOCATION_OF,mineral phase,C0026162,Inorganic Chemical,False,True
34036,magnesium,C0024467,Biologically Active Substance,LOCATION_OF,cells,C0007634,Cell,False,True
34036,magnesium,C0024467,Biologically Active Substance,PHYSICALLY_RELATED_TO,macromolecules,C0178735,Chemical Viewed Structurally,False,True
34036,magnesium,C0024467,Biologically Active Substance,LOCATION_OF,ecf,C0247098,Therapeutic or Preventive Procedure,False,True
34037,"1,25(oh)2d",C0006674,Organic Chemical,AFFECTS,magnesium,C0024467,Biologically Active Substance,False,True
34037,magnesium reabsorption,C0492318,Medical Device,USES,nacl reabsorption,C2610986,Physiologic Function,False,True
34037,magnesium reabsorption,C0492318,Medical Device,USES,tight-junction proteins,C3494363,"Amino Acid, Peptide, or Protein",False,True
34037,pth,C0020063,"Amino Acid, Peptide, or Protein",AFFECTS,magnesium reabsorption,C0492318,Medical Device,False,True
34037,hypercalcemia,C0020437,Disease or Syndrome,DISRUPTS,magnesium reabsorption,C0492318,Medical Device,False,True
34037,hypermagnesemia,C0151714,Disease or Syndrome,DISRUPTS,magnesium reabsorption,C0492318,Medical Device,False,True
34037,hypercalcemia,C0020437,Disease or Syndrome,CAUSES,casr,C1413136,Gene or Genome,False,True
34037,hypermagnesemia,C0151714,Disease or Syndrome,CAUSES,casr,C1413136,Gene or Genome,False,True
34038,intestinal malabsorption,C0024523,Disease or Syndrome,CAUSES,hypomagnesemia,C0151723,Disease or Syndrome,False,True
34038,diarrhea,C0011991,Sign or Symptom,CAUSES,hypomagnesemia,C0151723,Disease or Syndrome,False,True
34038,intestinal drainage,C0399614,Therapeutic or Preventive Procedure,CAUSES,hypomagnesemia,C0151723,Disease or Syndrome,False,True
34038,alcoholism,C0001973,Mental or Behavioral Dysfunction,CO_OCCURS_WITH,magnesium deficiency,C0024473,Disease or Syndrome,False,True
34038,genetic disorder,C0019247,Disease or Syndrome,CAUSES,magnesium malabsorption,C0268452,Disease or Syndrome,False,True
34038,mutations,C0026882,Genetic Function,CAUSES,inherited disorder,C0854723,Disease or Syndrome,False,True
34038,mutations,C0026882,Genetic Function,CAUSES,hypomagnesemia,C0151723,Disease or Syndrome,False,True
34038,mutations,C0026882,Genetic Function,CAUSES,hypocalcemia,C0020598,Disease or Syndrome,False,True
34038,gene,C0017337,Gene or Genome,PRODUCES,trpm6,C1425225,Gene or Genome,False,True
34038,trpm6,C1425225,Gene or Genome,PHYSICALLY_RELATED_TO,trpm7,C1425224,Gene or Genome,False,True
34038,vitamin d deficiency,C0042870,Disease or Syndrome,DISRUPTS,magnesium absorption,C0492318,Medical Device,False,True
34038,secondary hyperparathyroidism,C0020503,Disease or Syndrome,AFFECTS,magnesium reabsorption,C0492318,Medical Device,False,True
34038,hypocalcemia,C0020598,Disease or Syndrome,AFFECTS,magnesium reabsorption,C0492318,Medical Device,False,True
34038,hypomagnesemia,C0151723,Disease or Syndrome,AFFECTS,magnesium reabsorption,C0492318,Medical Device,False,True
34039,inactivating mutations,C4505106,Genetic Function,CAUSES,gitelman’s syndrome,C0268450,Disease or Syndrome,False,True
34039,kv1.1,C1416543,Gene or Genome,LOCATION_OF,dct,C1413933,Gene or Genome,False,True
34039,kir4.1,C1416577,Gene or Genome,LOCATION_OF,dct,C1413933,Gene or Genome,False,True
34042,mutations,C0026882,Genetic Function,PROPERTY_OF,trpm6,C1425225,Gene or Genome,False,True
34042,mutations,C0026882,Genetic Function,CAUSES,secondary hypocalcemia,C1865974,Disease or Syndrome,False,True
34063,thiazide,C0541746,Organic Chemical,IS_A,diuretics,C0012798,Pharmacologic Substance,False,True
34087,atn,C1710338,Gene or Genome,IS_A,acute tubular necrosis,C0022672,Disease or Syndrome,False,True
34087,siadh,C0021141,Disease or Syndrome,IS_A,syndrome,C0039082,Disease or Syndrome,False,True
34088,trpm6,C1425225,Gene or Genome,EXHIBITS,apical expression,C0017262,Genetic Function,False,True
34088,apical expression,C0017262,Genetic Function,OCCURS_IN,dct,C1413933,Gene or Genome,False,True
34088,ethanol,C0001962,Organic Chemical,DISRUPTS,magnesium reabsorption,C0492318,Medical Device,False,True
34090,patients,C0030705,Patient or Disabled Group,EXHIBITS,magnesium concentrations,C0086045,Mental Process,False,True
34090,magnesium concentrations,C0086045,Mental Process,PROPERTY_OF,serum,C0229671,Body Substance,False,True
34090,sinus tachycardia,C0039239,Disease or Syndrome,IS_A,cardiac arrhythmias,C0003811,Disease or Syndrome,False,True
34090,supraventricular tachycardias,C0039240,Disease or Syndrome,IS_A,cardiac arrhythmias,C0003811,Disease or Syndrome,False,True
34090,ventricular arrhythmias,C0085612,Disease or Syndrome,IS_A,cardiac arrhythmias,C0003811,Disease or Syndrome,False,True
34091,synthesis,C0220781,Biologic Function,PRODUCES,"1,25(oh)2d",C0006674,Organic Chemical,False,True
34091,cellular resistance,C1514892,Physiologic Function,AFFECTS,pth,C0020063,"Amino Acid, Peptide, or Protein",False,True
34092,renal function,C0232804,Organ or Tissue Function,AFFECTS,infusion,C0574032,Therapeutic or Preventive Procedure,False,True
34092,gfr,C0017654,Diagnostic Procedure,AFFECTS,infusion,C0574032,Therapeutic or Preventive Procedure,False,True
34092,injections,C0021485,Therapeutic or Preventive Procedure,EXHIBITS,painful,C0030193,Sign or Symptom,False,True
34092,mgso4,C0024480,Pharmacologic Substance,USES,iv,C0021440,Therapeutic or Preventive Procedure,False,True
34092,sulfate anions,C0038720,Inorganic Chemical,INTERACTS_WITH,calcium,C0006675,Pharmacologic Substance,False,True
34092,calcium,C0006675,Pharmacologic Substance,LOCATION_OF,serum,C0229671,Body Substance,False,True
34092,calcium,C0006675,Pharmacologic Substance,LOCATION_OF,urine,C0042036,Body Substance,False,True
34092,sulfate anions,C0038720,Inorganic Chemical,COMPLICATES,hypocalcemia,C0020598,Disease or Syndrome,False,True
34093,vitamin d,C0014695,Organic Chemical,TREATS,vitamin d deficiency,C0042870,Disease or Syndrome,False,True
34093,stimulation,C1292856,Therapeutic or Preventive Procedure,PRODUCES,secretion,C0036536,Biologic Function,False,True
34094,renal insufficiency,C0035078,Disease or Syndrome,CAUSES,hypermagnesemia,C0151714,Disease or Syndrome,False,True
34111,reabsorption,C2610986,Physiologic Function,CAUSES,hypermagnesemia,C0151714,Disease or Syndrome,False,True
34112,vasodilation,C0042401,Organ or Tissue Function,MANIFESTATION_OF,hypermagnesemia,C0151714,Disease or Syndrome,False,True
34112,nausea,C0027497,Sign or Symptom,PRECEDES,respiratory failure,C1145670,Disease or Syndrome,False,True
34112,nausea,C0027497,Sign or Symptom,PRECEDES,coma,C0009421,Disease or Syndrome,False,True
34112,lethargy,C0023380,Sign or Symptom,PRECEDES,respiratory failure,C1145670,Disease or Syndrome,False,True
34112,lethargy,C0023380,Sign or Symptom,PRECEDES,coma,C0009421,Disease or Syndrome,False,True
34112,weakness,C0004093,Sign or Symptom,PRECEDES,respiratory failure,C1145670,Disease or Syndrome,False,True
34112,weakness,C0004093,Sign or Symptom,PRECEDES,coma,C0009421,Disease or Syndrome,False,True
34113,hypermagnesemia,C0151714,Disease or Syndrome,CAUSES,hypocalcemia,C0020598,Disease or Syndrome,False,True
34113,casr,C1413136,Gene or Genome,AFFECTS,hypocalcemia,C0020598,Disease or Syndrome,False,True
34114,gastrointestinal tract,C0017189,Body System,CONTAINS,magnesium,C0024467,Biologically Active Substance,False,True
34114,hemodialysis,C0019004,Therapeutic or Preventive Procedure,MANAGES,hypermagnesemia,C0151714,Disease or Syndrome,False,True
34114,calcium,C0006675,Pharmacologic Substance,MANAGES,hypermagnesemia,C0151714,Disease or Syndrome,False,True
34114,iv,C0021440,Therapeutic or Preventive Procedure,METHOD_OF,calcium,C0006675,Pharmacologic Substance,False,True
34115,"1,25-dihydroxyvitamin d",C0370232,Organic Chemical,IS_A,steroid hormone,C0301818,Organic Chemical,False,True
34115,vitamin d,C0014695,Organic Chemical,IS_A,hormones,C0019932,Hormone,False,True
34115,vitamin d,C0014695,Organic Chemical,IS_A,precursors,C0035682,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
34115,metabolites,C0870883,Biologically Active Substance,IS_A,hormones,C0019932,Hormone,False,True
34115,metabolites,C0870883,Biologically Active Substance,IS_A,precursors,C0035682,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
34116,vitamin d,C0014695,Organic Chemical,OCCURS_IN,skin,C0444099,Body Substance,False,True
34116,ultraviolet radiation,C0041625,Natural Phenomenon or Process,PRODUCES,vitamin d,C0014695,Organic Chemical,False,True
34116,vitamin d,C0014695,Organic Chemical,LOCATION_OF,liver,C0023884,"Body Part, Organ, or Organ Component",False,True
34116,1α-hydroxylation,C0020365,Natural Phenomenon or Process,OCCURS_IN,kidney,C0022646,"Body Part, Organ, or Organ Component",False,True
34116,1α-hydroxylation,C0020365,Natural Phenomenon or Process,PROCESS_OF,hormone,C0019932,Hormone,False,True
34117,7-dehydrocholesterol,C0049865,Organic Chemical,PRODUCES,vitamin d,C0014695,Organic Chemical,False,True
34117,skin,C0444099,Body Substance,PRODUCES,vitamin d,C0014695,Organic Chemical,False,True
34117,melanin,C0025196,Organic Chemical,DISRUPTS,vitamin d,C0014695,Organic Chemical,False,True
34117,plant,C0032098,Plant,PRODUCES,vitamin d2,C0014695,Organic Chemical,False,True
34117,animal,C0003062,Animal,PRODUCES,vitamin d3,C0008318,Organic Chemical,False,True
34117,vitamin d hydroxylases,C0283470,"Amino Acid, Peptide, or Protein",BRINGS_ABOUT,vitamin d2,C0014695,Organic Chemical,False,True
34117,vitamin d hydroxylases,C0283470,"Amino Acid, Peptide, or Protein",BRINGS_ABOUT,vitamin d3,C0008318,Organic Chemical,False,True
34117,vitamin d,C0014695,Organic Chemical,OCCURS_IN,circulation,C0005775,Physiologic Function,False,True
34117,vitamin d,C0014695,Organic Chemical,PHYSICALLY_RELATED_TO,binding protein,C0033618,Molecular Function,False,True
34117,vitamin d–binding protein,C0033618,Molecular Function,IS_A,α-globulin,C0017649,"Amino Acid, Peptide, or Protein",False,True
34117,α-globulin,C0017649,"Amino Acid, Peptide, or Protein",OCCURS_IN,liver,C0023884,"Body Part, Organ, or Organ Component",False,True
34117,vitamin d,C0014695,Organic Chemical,OCCURS_IN,liver,C0023884,"Body Part, Organ, or Organ Component",False,True
34117,p450–like enzymes,C0010762,"Amino Acid, Peptide, or Protein",PERFORMS,25-hydroxylation,C0020365,Natural Phenomenon or Process,False,True
34117,25-hydroxylation,C0020365,Natural Phenomenon or Process,OCCURS_IN,mitochondria,C0026237,Cell Component,False,True
34117,25-hydroxylation,C0020365,Natural Phenomenon or Process,OCCURS_IN,microsomes,C0026029,Cell Component,False,True
34117,25-hydroxyvitamin d,C0006657,Pharmacologic Substance,DERIVATIVE_OF,vitamin d,C0042890,Organic Chemical,False,True
34117,25(oh)d,C0006657,Pharmacologic Substance,PHYSICALLY_RELATED_TO,binding protein,C0033618,Molecular Function,False,True
34117,25(oh)d,C0006657,Pharmacologic Substance,PHYSICALLY_RELATED_TO,albumin,C0001924,"Amino Acid, Peptide, or Protein",False,True
34117,vitamin d–binding protein,C0033618,Molecular Function,AFFECTS,25(oh)d,C0006657,Pharmacologic Substance,False,True
34117,urinary losses,C0042027,"Body Part, Organ, or Organ Component",OCCURS_IN,nephrotic syndrome,C0027726,Disease or Syndrome,False,True
34119,hormonal control,C2985296,Therapeutic or Preventive Procedure,MANAGES,vitamin d metabolism,C1159433,Molecular Function,False,True
